onset	duration	trial_type	condition	response_accuracy	response_time
136.4983595639933	2.5	B	violation	1	1.400156804942526
139.49831969698423	2.5	A	violation	1	1.174207307980396
142.49827952799387	2.5	B	nonviolation	1	1.0152268710080534
145.4982390239602	2.5	B	violation	1	1.3792961740400642
148.49819937499706	2.5	A	violation	1	1.0133113529300315
151.4981593489647	2.5	B	violation	1	1.040357336984016
154.49811971199233	2.5	A	nonviolation	1	0.9743985589593648
157.49807654100002	2.5	A	violation	1	0.6534353099996224
160.498039422906	2.5	B	violation	1	1.151472591096535
163.4979981388897	2.5	A	nonviolation	1	1.085513593046926
166.49795986094978	2.5	B	violation	0	0.91956101404503
169.49791852699127	2.5	B	violation	0	1.63659522193484
172.4978790549794	2.5	B	violation	1	1.1136326339328662
175.49783838598526	2.5	B	nonviolation	1	0.9326836980180816
178.49779674399178	2.5	B	nonviolation	0	0.9647219449980184
181.49775890598542	2.5	B	nonviolation	0	1.262757709948346
184.4977222519228	2.5	B	nonviolation	0	1.2387890700483697
187.4976779459976	2.5	A	nonviolation	1	0.8638451979495585
190.49764032394162	2.5	B	nonviolation	0	1.5268790109548718
193.49759569088928	2.5	B	violation	0	1.2409245420712978
196.49755735800136	2.5	A	nonviolation	1	0.8769550019642338
199.4975165229989	2.5	A	nonviolation	1	0.8250260689528659
202.49747475795448	2.5	B	nonviolation	1	1.1200444579590112
205.4974363059737	2.5	A	violation	1	1.0680339980171991
208.4973940979689	2.5	B	nonviolation	0	1.3991528999758884
211.49735570896885	2.5	B	nonviolation	0	1.1721703950315714
214.49731570796573	2.5	A	nonviolation	1	0.8962808899814263
217.4972752869362	2.5	A	violation	1	0.8111397220054641
220.49723511096093	2.5	A	nonviolation	1	0.9892902439460158
223.49719510797883	2.5	A	nonviolation	1	1.5112024309346452
226.49715302791446	2.5	B	nonviolation	1	1.5723629699787125
229.4971122329589	2.5	A	violation	1	1.0294064769987017
232.497073778999	2.5	A	nonviolation	1	0.785449237911962
235.49703422689342	2.5	A	nonviolation	1	0.894350644084625
238.49699130898807	2.5	A	violation	1	0.8825286199571565
